date,open,high,low,close,volume,stock,daily_variation,daily_return,sma_7,std_7,ema_14,macd,macd_signal,cumulative_return,gain,loss,rsi,L14,H14,stochastic_oscillator,prev_high,prev_low,prev_close,atr,smoothed_plus_dm,smoothed_minus_dm,dx,adx,label_3,label_7,title,sentiment
2016-09-06,50.56,50.57,49.63,49.99,21832155,WFC,0.0185917721518986,-0.011078140454995,50.478,0.3039243326862614,49.77449708072207,-0.0002124013362195,0.0008680899688433,43.319954128440365,0.0,0.011078140454995,67.39496367194866,48.2,51.0,63.928571428571466,50.66,50.18,50.55,0.629416718599352,28.912913165282795,18.137761149174857,22.90116384750084,36.23717479899989,hold,sell,Retail Investors Loved Beat Up Stocks In August,1.0
2016-09-07,49.79,50.03,49.65,49.77,12437261,WFC,0.0076320546294437,-0.0044008801760352,50.308,0.4201428328542934,49.77367942968169,-0.0006554462325207,0.0005633827285705,42.68922018348624,0.0,0.0044008801760352,62.98279989644477,48.2,51.0,56.07142857142864,50.57,49.63,49.99,0.6116012386993985,25.78777446433542,16.177286983469262,22.90116384750084,34.45904000546668,hold,sell,Is Fed Watch Getting Boring? Markets Appear to Think So as They Edge Along Flat Line,0.0
2016-09-08,49.81,49.99,49.56,49.9,14169243,WFC,0.0086328046576992,0.0026120152702431,50.128,0.3422279941776771,49.7966468061032,-0.0004356584520562,0.0003635744924451,43.061926605504574,0.0026120152702431,0.0,65.11132072708116,48.2,51.0,60.71428571428562,50.03,49.65,49.77,0.5986297216494415,22.833686674628066,16.328695190577555,16.610306049413108,32.079208811326204,sell,sell,"Wells Fargo Reaches $100M Settlement Over Bundled Banking Products, Opened Accounts For Customers Without Their Knowledge",0.0
2016-09-09,49.49,49.86,48.72,48.72,32147152,WFC,0.0230349565568801,-0.0236472945891783,49.786,0.6661306178212812,49.60089284135716,-0.0023532550407395,-0.0001797914141917,39.67889908256879,0.0,0.0236472945891783,51.00894098106644,48.28,51.0,16.17647058823522,49.99,49.56,49.9,0.6401561701030528,18.505484940111355,30.72926712985695,24.827548988921848,31.112320835005622,sell,sell,Option Alert: WFC Fri 10/14 49.5 Calls (Wkly): 1950 @  ASK  $1.33: 8173 traded vs 16 OI:  Earnings 10/14  $49.79 Ref,0.0
2016-09-12,48.37,48.64,47.98,48.54,35588431,WFC,0.0136448211701468,-0.0036945812807881,49.384,0.6956507744544419,49.40800323383768,-0.0022371583714803,-0.0005912648056495,39.16284403669724,0.0,0.0036945812807881,49.59652007120368,47.98,51.0,18.54304635761595,49.86,48.72,48.72,0.6472878722385492,15.861382171377215,41.581693580504094,44.77530332850346,32.93405183413867,sell,sell,Watch These 7 Huge Call Purchases In Monday Trade,0.0
2016-09-13,47.8,47.86,46.52,46.96,59000513,WFC,0.0280334728033472,-0.0325504738360115,48.778,1.1840692547309943,48.96291173677628,-0.0044225993230873,-0.001357531709137,34.63302752293577,0.0,0.0325504738360115,40.115331806059,46.52,51.0,9.821428571428529,48.64,47.98,48.54,0.745338738507224,11.938146350429117,57.41454226025269,65.57265020410358,37.28586495013399,sell,hold,Technical Alert: Wells Fargo In Freefall,0.0
2016-09-14,47.08,47.58,46.5,46.52,44841748,WFC,0.0229396771452845,-0.0093696763202725,48.128,1.3793186723884252,48.51874596645332,-0.0042352589639958,-0.0019330771601088,33.37155963302752,0.0,0.0093696763202725,35.83611963021025,46.5,51.0,0.4444444444445139,47.86,46.52,46.96,0.7692431143281364,10.02487736128304,48.559652301195335,65.77636649457077,41.08459848939223,hold,hold,Hearing Wells Fargo Agreed to Pay $190M Settlement Related to Fake Accounts,0.0
2016-09-15,46.12,46.35,45.19,46.15,61190519,WFC,0.0251517779705117,-0.0079535683576956,47.378,1.1800508463619506,48.08806488164362,-0.0039272513926047,-0.002331912006608,32.310779816513744,0.0,0.0079535683576956,35.1826396293023,45.19,51.0,16.523235800344242,47.58,46.5,46.52,0.8092971775904129,8.258225799200789,61.58465533391354,76.35198988008142,45.78691734148412,hold,hold,"Activist Needmor Calls For Wells Fargo To Split Chiar-CEO Roles, Phase In For Next CEO Transition; CEO John Stumpf Also Holds Chairman Tile, Bank Defeated Similar Proposal In April",0.0
2016-09-16,45.7,45.87,45.25,45.43,51871380,WFC,0.0135667396061268,-0.0156013001083423,46.720000000000006,1.161787416010227,47.60478035770841,-0.0042512553849554,-0.0027157806822775,30.24655963302752,0.0,0.0156013001083423,30.857066654889863,45.19,51.0,4.130808950086092,46.35,45.19,46.15,0.815775950619669,7.100288156290172,52.949484490835374,76.35198988008143,49.86226034663044,hold,hold,The Market In 5 Minutes: A Down Week Comes To A Close,0.0
2016-09-19,45.62,46.29,45.48,46.01,33562406,WFC,0.0177553704515563,0.0127668941228262,46.214,0.5723897273709976,47.31482029267051,-0.0021936674586988,-0.0026113580375617,31.90940366972476,0.0127668941228262,0.0,26.97879887555456,45.19,51.0,14.113597246127366,45.87,45.25,45.43,0.8189348112896926,12.967998101009194,45.71254438066912,55.8013694060236,50.654141554549525,hold,hold,Baird Upgrades Wells Fargo to Outperform,1.0
2016-09-20,47.15,47.2,46.12,46.56,51510381,WFC,0.0229056203605515,0.0119539230602043,46.134,0.4587264980354467,47.17758023945769,-0.000621450479206,-0.0022133765258906,33.48623853211009,0.0119539230602043,0.0,22.350553809204087,45.19,51.0,23.580034423407987,46.29,45.48,46.01,0.8454394676261434,25.23809988890085,38.37552258621064,20.651901567859525,46.653842889657525,hold,sell,Hillary Clinton's 3-Point Plan To Fix Our Financial System,0.0
2016-09-21,46.51,46.54,45.33,45.83,64530229,WFC,0.0260159105568695,-0.0156786941580756,45.996,0.4153071152772343,46.93256565046538,-0.0015868858377089,-0.0020880783882542,31.3933486238532,0.0,0.0156786941580756,18.458275954689185,45.19,51.0,11.01549053356283,47.2,46.12,46.56,0.8729080770814193,21.18472126481105,44.2791456305133,35.27812434702315,45.13708041730628,hold,hold,"House Financial Services Committee Schedules Wells Fargo Hearing On Sept. 29th, CEO Stumpf Invited To Testify",0.0
2016-09-22,45.83,46.12,45.37,45.72,36964352,WFC,0.0163648265328387,-0.0024001745581496,45.91,0.4199404719718242,46.71209916856258,-0.001265941767736,-0.0019236510641506,31.07798165137613,0.0,0.0024001745581496,19.035755351489414,45.19,50.66,9.689213893967116,46.54,45.33,45.83,0.8641289287184608,18.546621763379697,38.76513435080411,35.27812434702316,43.82255294126853,hold,hold,7 Biggest Price Target Changes For Thursday,0.0
2016-09-23,45.5,45.91,45.43,45.74,28710524,WFC,0.0105494505494504,0.0004374453193352,45.972,0.3480948146696579,46.53535386518756,-0.0007737003350208,-0.0016936609183246,31.13532110091743,0.0004374453193352,0.0,18.01567788300752,45.19,50.57,10.22304832713762,46.12,45.37,45.72,0.8366911480957134,16.60084820376526,34.698184885989505,35.278124347023166,42.68329579536916,hold,sell,"Credit Suisse Cuts Wells Fargo's Target To $50, Settlement And Policy Actions Won't Put The Issues To Rest",-1.0
2016-09-26,45.37,45.5,44.65,44.88,30937973,WFC,0.018734846815076,-0.0188019239177962,45.746,0.5958858951174794,46.234380435153454,-0.0019139884925789,-0.0017377264331755,28.6697247706422,0.0,0.0188019239177962,17.156036271062405,44.65,50.03,4.275092936803046,45.91,45.43,45.74,0.8547846375174484,14.08285921648792,41.60202937100309,49.41945804790035,43.58145076237332,hold,hold,Technical Alert: Wells Fargo Breaches Major Support Level,0.0
2016-09-27,44.79,45.1,44.66,45.09,24359007,WFC,0.0098236213440501,0.0046791443850267,45.452,0.4347067977384659,46.02631126512556,-0.0009124311617502,-0.0015726673788904,29.271788990825687,0.0046791443850267,0.0,20.01233466383387,44.65,49.99,8.239700374531921,45.5,44.65,44.88,0.8251571634090596,12.643373422419174,37.34965921211681,49.41945804790034,44.35985173377692,hold,hold,Wells Fargo Executive Wallets May Get Thinner; Board Considering Pay Clawbacks,-1.0
2016-09-28,45.36,45.48,44.955,45.31,28220297,WFC,0.011574074074074,0.0048791306276336,45.348,0.3804865306420942,45.89607285328455,-0.0001013838528673,-0.0012784106736858,29.90252293577981,0.0048791306276336,0.0,21.11528828528012,44.65,49.86,12.667946257197766,45.1,44.66,45.09,0.8037173660226982,17.553933002294254,33.233192163030004,30.87250776588753,42.561539204725,sell,hold,"Wells Fargo Board's Internal Investigation Expected To Take Months, May Wrap By Year End",0.0
